threshold,precision,recall,f1,predicted_churn_rate
0.05,0.3505747126436782,0.9786096256684492,0.5162200282087447,0.7409510290986515
0.1,0.4069767441860465,0.9358288770053476,0.5672609400324149,0.6103619588360539
0.15,0.44594594594594594,0.8823529411764706,0.59245960502693,0.525195173882186
0.2,0.4831288343558282,0.8422459893048129,0.6140350877192983,0.4627395315826828
0.25,0.5127768313458262,0.8048128342245989,0.6264308012486993,0.41660752306600424
0.3,0.530188679245283,0.7513368983957219,0.6216814159292036,0.376153300212917
0.35,0.5643776824034334,0.7032085561497327,0.6261904761904762,0.3307310149041874
0.4,0.5965346534653465,0.6443850267379679,0.6195372750642674,0.2867281760113556
0.45,0.6257309941520468,0.5721925133689839,0.5977653631284916,0.2427253371185238
0.5,0.6655172413793103,0.516042780748663,0.5813253012048193,0.20581973030518097
0.55,0.6929460580912863,0.446524064171123,0.5430894308943089,0.1710432931156849
0.6,0.7301587301587301,0.3689839572192513,0.49023090586145646,0.13413768630234207
0.65,0.7534246575342466,0.29411764705882354,0.4230769230769231,0.10361958836053939
0.7,0.8173913043478261,0.25133689839572193,0.38445807770961143,0.08161816891412349
0.75,0.7951807228915663,0.17647058823529413,0.2888402625820569,0.058907026259758695
0.8,0.7868852459016393,0.12834224598930483,0.2206896551724138,0.043293115684882894
0.85,0.9285714285714286,0.06951871657754011,0.12935323383084577,0.0198722498225692
0.9,1.0,0.013368983957219251,0.026385224274406333,0.0035486160397444995
0.95,0.0,0.0,0.0,0.0
